     0.544 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3c, act: 0x7fb8afdffd10, sigsetsize: 8            ) = 0
     0.546 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3d, oact: 0x7fb8afdffdb0, sigsetsize: 8           ) = 0
     0.548 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3d, act: 0x7fb8afdffd10, sigsetsize: 8            ) = 0
     0.550 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3e, oact: 0x7fb8afdffdb0, sigsetsize: 8           ) = 0
     0.553 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3e, act: 0x7fb8afdffd10, sigsetsize: 8            ) = 0
     0.555 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3f, oact: 0x7fb8afdffdb0, sigsetsize: 8           ) = 0
     0.557 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3f, act: 0x7fb8afdffd10, sigsetsize: 8            ) = 0
     0.559 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x40, oact: 0x7fb8afdffdb0, sigsetsize: 8           ) = 0
     0.561 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x40, act: 0x7fb8afdffd10, sigsetsize: 8            ) = 0
     0.563 ( 0.001 ms): pesquisaOverhe/7 rt_sigprocmask(how: SETMASK, nset: 0x7fffed3d6028, sigsetsize: 8      ) = 0
     0.572 ([33m 0.023 ms[m): pesquisaOverhe/7 execve(filename: 0xafdffd80, argv: 0x7fffed3d62d0                     ) = -2
     0.597 ( 0.005 ms): pesquisaOverhe/7 execve(filename: 0xafdffd80, argv: 0x7fffed3d62d0                     ) = -2
     0.603 ( 0.004 ms): pesquisaOverhe/7 execve(filename: 0xafdffd80, argv: 0x7fffed3d62d0                     ) = -2
     0.608 ( 0.004 ms): pesquisaOverhe/7 execve(filename: 0xafdffd80, argv: 0x7fffed3d62d0                     ) = -2
     0.613 ( 0.004 ms): pesquisaOverhe/7 execve(filename: 0xafdffd80, argv: 0x7fffed3d62d0                     ) = -2
     0.619 ([33m 0.011 ms[m): pesquisaOverhe/7 execve(filename: 0xafdffd80, argv: 0x7fffed3d62d0                     ) = -2
     0.631 ([33m 0.083 ms[m): sleep/7 execve(filename: 0xafdffd80, argv: 0x7fffed3d62d0                     ) = 0
     0.728 ( 0.001 ms): sleep/7 brk(                                                                  ) = 0x55cb89a26000
     0.741 ( 0.003 ms): sleep/7 access(filename: 0xdc6c84e7                                           ) = -1 ENOENT No such file or directory
     0.748 ( 0.002 ms): sleep/7 access(filename: 0xdc6cac70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.753 ( 0.005 ms): sleep/7 open(filename: 0xdc6c8988, flags: CLOEXEC                             ) = 3
     0.759 ( 0.002 ms): sleep/7 fstat(fd: 3, statbuf: 0x7ffcc6634530                                  ) = 0
     0.762 ( 0.003 ms): sleep/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f0fdc8ca000
     0.766 ( 0.001 ms): sleep/7 close(fd: 3                                                           ) = 0
     0.769 ( 0.001 ms): sleep/7 access(filename: 0xdc6c84e7                                           ) = -1 ENOENT No such file or directory
     0.772 ( 0.004 ms): sleep/7 open(filename: 0xdc8d0d68, flags: CLOEXEC                             ) = 3
     0.777 ( 0.002 ms): sleep/7 read(fd: 3, buf: 0x7ffcc66346d8, count: 832                           ) = 832
     0.780 ( 0.001 ms): sleep/7 fstat(fd: 3, statbuf: 0x7ffcc6634570                                  ) = 0
     0.782 ( 0.002 ms): sleep/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f0fdc8c8000
     0.787 ( 0.004 ms): sleep/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f0fdc30c000
