         ? (     ?   ): pesquisaOverhe/6  ... [[33mcontinued[m]: execve()) = 0
     1.055 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x2b, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     1.059 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x2b, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     1.063 ( 0.003 ms): sleep/7 rt_sigaction(sig: 0x2c, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     1.069 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x2c, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     1.073 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x2d, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     1.077 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2d, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     1.080 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2e, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     1.084 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x2e, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     1.088 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x2f, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     1.092 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2f, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     1.096 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x30, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     1.099 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x30, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     1.103 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x31, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     1.108 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x31, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     1.112 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x32, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     1.117 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x32, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     1.120 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x33, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     1.124 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x33, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     1.128 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x34, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     1.132 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x34, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     1.136 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x35, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     1.140 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x35, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     1.144 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x36, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     1.148 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x36, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
