         ? (     ?   ): pesquisaOverhe/6  ... [[33mcontinued[m]: execve()) = 0
     0.020 ( 0.001 ms): pesquisaOverhe/6 brk(                                                                  ) = 0x55ccf6aff000
     0.458 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x21, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.460 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x22, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.461 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x22, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.463 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x23, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.464 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x23, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.466 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x24, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.468 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x24, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.469 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x25, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.471 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x25, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.472 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x26, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.474 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x26, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.476 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x27, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.477 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x27, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.479 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x28, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.480 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x28, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.482 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x29, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.484 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x29, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.485 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2a, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.487 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2a, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.488 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2b, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.490 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2b, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.492 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2c, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.493 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2c, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.495 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2d, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.496 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2d, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.498 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2e, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.500 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2e, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.501 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2f, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.503 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2f, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.504 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x30, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.506 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x30, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.507 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x31, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.509 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x31, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.511 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x32, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.513 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x32, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.514 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x33, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.516 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x33, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.518 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x34, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.520 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x34, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.522 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x35, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.523 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x35, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.525 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x36, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
