         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.558 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3a, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.560 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3b, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.562 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3b, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.564 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3c, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.566 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3c, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.568 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3d, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.570 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3d, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.572 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3e, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.574 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3e, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.576 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3f, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.579 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3f, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.580 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x40, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.582 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x40, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.584 ( 0.001 ms): sleep/8 rt_sigprocmask(how: SETMASK, nset: 0x7ffd0c66e378, sigsetsize: 8      ) = 0
