         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.455 ( 0.001 ms): sleep/8 rt_sigaction(sig: PWR, oact: 0x7f8e9d284db0, sigsetsize: 8            ) = 0
     0.456 ( 0.001 ms): sleep/8 rt_sigaction(sig: PWR, act: 0x7f8e9d284d10, sigsetsize: 8             ) = 0
     0.458 ( 0.001 ms): sleep/8 rt_sigaction(sig: SYS, oact: 0x7f8e9d284db0, sigsetsize: 8            ) = 0
     0.459 ( 0.001 ms): sleep/8 rt_sigaction(sig: SYS, act: 0x7f8e9d284d10, sigsetsize: 8             ) = 0
     0.461 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x20, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.463 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x21, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.464 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x22, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.466 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x22, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.468 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x23, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.469 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x23, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.471 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x24, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.472 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x24, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.474 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x25, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.475 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x25, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.477 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x26, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.479 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x26, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.480 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x27, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.482 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x27, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.483 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x28, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.485 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x28, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.487 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x29, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.488 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x29, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.490 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2a, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.491 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2a, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.493 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2b, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.495 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2b, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.496 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2c, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.498 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2c, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.499 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2d, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.501 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2d, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.503 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2e, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.504 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2e, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.506 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2f, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.507 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2f, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.509 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x30, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.510 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x30, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.512 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x31, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.514 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x31, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.515 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x32, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.517 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x32, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.519 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x33, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.521 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x33, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.522 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x34, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.524 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x34, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.526 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x35, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.528 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x35, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.530 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x36, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.531 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x36, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.533 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x37, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.535 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x37, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.537 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x38, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.539 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x38, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.541 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x39, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.543 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x39, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.544 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3a, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.546 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3a, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.548 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3b, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.550 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3b, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.552 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3c, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.554 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3c, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.556 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3d, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.557 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3d, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.560 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3e, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.562 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3e, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.564 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3f, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.566 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3f, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.568 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x40, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.570 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x40, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.572 ( 0.001 ms): sleep/8 rt_sigprocmask(how: SETMASK, nset: 0x7ffcc708a918, sigsetsize: 8      ) = 0
     0.579 ([33m 0.015 ms[m): sleep/8 execve(filename: 0x9d284d80, argv: 0x7ffcc708abc0                     ) = -2
