         ? (     ?   ): pesquisaOverhe/6  ... [[33mcontinued[m]: execve()) = 0
     0.890 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x24, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.891 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x24, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.893 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x25, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.895 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x25, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.897 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x26, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.899 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x26, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.901 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x27, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.902 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x27, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.904 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x28, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.906 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x28, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.908 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x29, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.910 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x29, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.912 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2a, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.914 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2a, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.916 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2b, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.918 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2b, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.919 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2c, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.921 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2c, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.923 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2d, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.925 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2d, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.927 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2e, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.929 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2e, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.931 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2f, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.933 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2f, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.934 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x30, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.937 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x30, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.939 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x31, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.941 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x31, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.943 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x32, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.945 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x32, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.947 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x33, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.949 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x33, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.952 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x34, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.954 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x34, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.956 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x35, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.958 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x35, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.960 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x36, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.962 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x36, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.964 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x37, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.966 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x37, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.968 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x38, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.970 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x38, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.972 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x39, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.974 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x39, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.975 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3a, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.977 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3a, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.979 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3b, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.981 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3b, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.983 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3c, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.985 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3c, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.987 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3d, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.989 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3d, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.991 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3e, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.993 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3e, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.995 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3f, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.997 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3f, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.999 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x40, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     1.000 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x40, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     1.002 ( 0.002 ms): sleep/7 rt_sigprocmask(how: SETMASK, nset: 0x7ffdac93b348, sigsetsize: 8      ) = 0
     1.012 ([33m 0.017 ms[m): sleep/7 execve(filename: 0x90534d80, argv: 0x7ffdac93b5f0                     ) = -2
     1.030 ( 0.005 ms): sleep/7 execve(filename: 0x90534d80, argv: 0x7ffdac93b5f0                     ) = -2
     1.036 ( 0.004 ms): sleep/7 execve(filename: 0x90534d80, argv: 0x7ffdac93b5f0                     ) = -2
     1.041 ( 0.004 ms): sleep/7 execve(filename: 0x90534d80, argv: 0x7ffdac93b5f0                     ) = -2
     1.045 ( 0.004 ms): sleep/7 execve(filename: 0x90534d80, argv: 0x7ffdac93b5f0                     ) = -2
     1.050 ([33m 0.011 ms[m): sleep/7 execve(filename: 0x90534d80, argv: 0x7ffdac93b5f0                     ) = -2
