         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.034 ( 0.002 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x556c4eb3d000
     0.849 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x39, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.850 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3a, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.852 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3a, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.854 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3b, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.856 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3b, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.858 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3c, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.860 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3c, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.862 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3d, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.864 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3d, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.865 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3e, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.867 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3e, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.869 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.871 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.873 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.874 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.876 ( 0.001 ms): pesquisaOverhe/8 rt_sigprocmask(how: SETMASK, nset: 0x7fff96ebd2c8, sigsetsize: 8      ) = 0
     0.883 ([33m 0.114 ms[m): sleep/8 execve(filename: 0x4ca87a36, argv: 0x7fff96ebd570                     ) = 0
     1.012 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x563758945000
     1.029 ( 0.004 ms): sleep/8 access(filename: 0xff6604e7                                           ) = -1 ENOENT No such file or directory
     1.035 ( 0.002 ms): sleep/8 access(filename: 0xff662c70, mode: R                                  ) = -1 ENOENT No such file or directory
     1.041 ( 0.004 ms): sleep/8 open(filename: 0xff660988, flags: CLOEXEC                             ) = 3
     1.047 ( 0.002 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffd7dcff8e0                                  ) = 0
     1.050 ( 0.003 ms): sleep/8 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7fa8ff862000
     1.055 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     1.060 ( 0.002 ms): sleep/8 access(filename: 0xff6604e7                                           ) = -1 ENOENT No such file or directory
     1.065 ( 0.005 ms): sleep/8 open(filename: 0xff868d68, flags: CLOEXEC                             ) = 3
     1.071 ( 0.003 ms): sleep/8 read(fd: 3, buf: 0x7ffd7dcffa88, count: 832                           ) = 832
     1.076 ( 0.001 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffd7dcff920                                  ) = 0
     1.079 ( 0.002 ms): sleep/8 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7fa8ff860000
     1.085 ( 0.003 ms): sleep/8 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7fa8ff2a4000
     1.089 ( 0.005 ms): sleep/8 mprotect(start: 0x7fa8ff439000, len: 2097152                          ) = 0
     1.096 ( 0.005 ms): sleep/8 mmap(addr: 0x7fa8ff639000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7fa8ff639000
     1.105 ( 0.004 ms): sleep/8 mmap(addr: 0x7fa8ff63f000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7fa8ff63f000
     1.116 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     1.129 ( 0.002 ms): sleep/8 arch_prctl(option: 4098, arg2: 140363818210432                        ) = 0
