     0.829 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.831 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.833 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.835 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.837 ( 0.001 ms): pesquisaOverhe/8 rt_sigprocmask(how: SETMASK, nset: 0x7ffd53705018, sigsetsize: 8      ) = 0
     0.846 ([33m 0.021 ms[m): pesquisaOverhe/8 execve(filename: 0x364f3d80, argv: 0x7ffd537052c0                     ) = -2
     0.869 ( 0.005 ms): pesquisaOverhe/8 execve(filename: 0x364f3d80, argv: 0x7ffd537052c0                     ) = -2
     0.874 ( 0.004 ms): pesquisaOverhe/8 execve(filename: 0x364f3d80, argv: 0x7ffd537052c0                     ) = -2
     0.879 ( 0.004 ms): pesquisaOverhe/8 execve(filename: 0x364f3d80, argv: 0x7ffd537052c0                     ) = -2
     0.885 ( 0.004 ms): pesquisaOverhe/8 execve(filename: 0x364f3d80, argv: 0x7ffd537052c0                     ) = -2
     0.890 ([33m 0.014 ms[m): pesquisaOverhe/8 execve(filename: 0x364f3d80, argv: 0x7ffd537052c0                     ) = -2
     0.905 ([33m 0.087 ms[m): sleep/8 execve(filename: 0x364f3d80, argv: 0x7ffd537052c0                     ) = 0
     1.006 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x55d66643f000
     1.019 ( 0.004 ms): sleep/8 access(filename: 0x456da4e7                                           ) = -1 ENOENT No such file or directory
     1.027 ( 0.002 ms): sleep/8 access(filename: 0x456dcc70, mode: R                                  ) = -1 ENOENT No such file or directory
     1.034 ( 0.004 ms): sleep/8 open(filename: 0x456da988, flags: CLOEXEC                             ) = 3
     1.039 ( 0.003 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffdf5be7c80                                  ) = 0
     1.043 ( 0.003 ms): sleep/8 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f18458dc000
     1.047 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     1.051 ( 0.002 ms): sleep/8 access(filename: 0x456da4e7                                           ) = -1 ENOENT No such file or directory
