     0.500 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2e, oact: 0x7f3b52018db0, sigsetsize: 8           ) = 0
     0.501 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2e, act: 0x7f3b52018d10, sigsetsize: 8            ) = 0
     0.503 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2f, oact: 0x7f3b52018db0, sigsetsize: 8           ) = 0
     0.505 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2f, act: 0x7f3b52018d10, sigsetsize: 8            ) = 0
     0.506 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x30, oact: 0x7f3b52018db0, sigsetsize: 8           ) = 0
     0.508 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x30, act: 0x7f3b52018d10, sigsetsize: 8            ) = 0
     0.510 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x31, oact: 0x7f3b52018db0, sigsetsize: 8           ) = 0
     0.511 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x31, act: 0x7f3b52018d10, sigsetsize: 8            ) = 0
     0.513 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x32, oact: 0x7f3b52018db0, sigsetsize: 8           ) = 0
     0.515 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x32, act: 0x7f3b52018d10, sigsetsize: 8            ) = 0
     0.517 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x33, oact: 0x7f3b52018db0, sigsetsize: 8           ) = 0
     0.519 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x33, act: 0x7f3b52018d10, sigsetsize: 8            ) = 0
     0.521 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x34, oact: 0x7f3b52018db0, sigsetsize: 8           ) = 0
     0.523 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x34, act: 0x7f3b52018d10, sigsetsize: 8            ) = 0
     0.524 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x35, oact: 0x7f3b52018db0, sigsetsize: 8           ) = 0
     0.527 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x35, act: 0x7f3b52018d10, sigsetsize: 8            ) = 0
     0.528 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x36, oact: 0x7f3b52018db0, sigsetsize: 8           ) = 0
     0.530 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x36, act: 0x7f3b52018d10, sigsetsize: 8            ) = 0
     0.532 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x37, oact: 0x7f3b52018db0, sigsetsize: 8           ) = 0
     0.534 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x37, act: 0x7f3b52018d10, sigsetsize: 8            ) = 0
     0.536 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x38, oact: 0x7f3b52018db0, sigsetsize: 8           ) = 0
     0.538 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x38, act: 0x7f3b52018d10, sigsetsize: 8            ) = 0
     0.540 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x39, oact: 0x7f3b52018db0, sigsetsize: 8           ) = 0
     0.542 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x39, act: 0x7f3b52018d10, sigsetsize: 8            ) = 0
     0.544 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3a, oact: 0x7f3b52018db0, sigsetsize: 8           ) = 0
     0.546 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3a, act: 0x7f3b52018d10, sigsetsize: 8            ) = 0
     0.548 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3b, oact: 0x7f3b52018db0, sigsetsize: 8           ) = 0
     0.550 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3b, act: 0x7f3b52018d10, sigsetsize: 8            ) = 0
     0.552 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3c, oact: 0x7f3b52018db0, sigsetsize: 8           ) = 0
     0.553 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3c, act: 0x7f3b52018d10, sigsetsize: 8            ) = 0
     0.555 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3d, oact: 0x7f3b52018db0, sigsetsize: 8           ) = 0
     0.557 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3d, act: 0x7f3b52018d10, sigsetsize: 8            ) = 0
     0.559 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3e, oact: 0x7f3b52018db0, sigsetsize: 8           ) = 0
     0.562 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3e, act: 0x7f3b52018d10, sigsetsize: 8            ) = 0
     0.564 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, oact: 0x7f3b52018db0, sigsetsize: 8           ) = 0
     0.566 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, act: 0x7f3b52018d10, sigsetsize: 8            ) = 0
     0.568 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, oact: 0x7f3b52018db0, sigsetsize: 8           ) = 0
     0.570 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, act: 0x7f3b52018d10, sigsetsize: 8            ) = 0
     0.572 ( 0.001 ms): pesquisaOverhe/8 rt_sigprocmask(how: SETMASK, nset: 0x7ffccd53f648, sigsetsize: 8      ) = 0
     0.581 ([33m 0.015 ms[m): pesquisaOverhe/8 execve(filename: 0x52018d80, argv: 0x7ffccd53f8f0                     ) = -2
     0.597 ( 0.005 ms): pesquisaOverhe/8 execve(filename: 0x52018d80, argv: 0x7ffccd53f8f0                     ) = -2
     0.603 ( 0.004 ms): pesquisaOverhe/8 execve(filename: 0x52018d80, argv: 0x7ffccd53f8f0                     ) = -2
     0.608 ( 0.004 ms): pesquisaOverhe/8 execve(filename: 0x52018d80, argv: 0x7ffccd53f8f0                     ) = -2
     0.614 ( 0.004 ms): pesquisaOverhe/8 execve(filename: 0x52018d80, argv: 0x7ffccd53f8f0                     ) = -2
     0.619 ([33m 0.010 ms[m): pesquisaOverhe/8 execve(filename: 0x52018d80, argv: 0x7ffccd53f8f0                     ) = -2
     0.630 ([33m 0.072 ms[m): sleep/8 execve(filename: 0x52018d80, argv: 0x7ffccd53f8f0                     ) = 0
     0.717 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x56122d4c1000
     0.731 ( 0.003 ms): sleep/8 access(filename: 0x59cb04e7                                           ) = -1 ENOENT No such file or directory
     0.736 ( 0.002 ms): sleep/8 access(filename: 0x59cb2c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.740 ( 0.003 ms): sleep/8 open(filename: 0x59cb0988, flags: CLOEXEC                             ) = 3
     0.745 ( 0.002 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffd46fa6130                                  ) = 0
