     0.613 ( 0.004 ms): pesquisaOverhe/8 execve(filename: 0x732cd80, argv: 0x7ffc02d874a0                      ) = -2
     0.618 ( 0.004 ms): pesquisaOverhe/8 execve(filename: 0x732cd80, argv: 0x7ffc02d874a0                      ) = -2
     0.623 ( 0.004 ms): pesquisaOverhe/8 execve(filename: 0x732cd80, argv: 0x7ffc02d874a0                      ) = -2
     0.628 ([33m 0.012 ms[m): pesquisaOverhe/8 execve(filename: 0x732cd80, argv: 0x7ffc02d874a0                      ) = -2
     0.641 ([33m 0.072 ms[m): sleep/8 execve(filename: 0x732cd80, argv: 0x7ffc02d874a0                      ) = 0
     0.726 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x555ed4a43000
     0.739 ( 0.003 ms): sleep/8 access(filename: 0x718764e7                                           ) = -1 ENOENT No such file or directory
     0.747 ( 0.002 ms): sleep/8 access(filename: 0x71878c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.752 ( 0.004 ms): sleep/8 open(filename: 0x71876988, flags: CLOEXEC                             ) = 3
     0.757 ( 0.002 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffe4205b470                                  ) = 0
     0.760 ( 0.003 ms): sleep/8 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f7571a78000
     0.764 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     0.768 ( 0.002 ms): sleep/8 access(filename: 0x718764e7                                           ) = -1 ENOENT No such file or directory
     0.772 ( 0.006 ms): sleep/8 open(filename: 0x71a7ed68, flags: CLOEXEC                             ) = 3
     0.779 ( 0.002 ms): sleep/8 read(fd: 3, buf: 0x7ffe4205b618, count: 832                           ) = 832
     0.783 ( 0.001 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffe4205b4b0                                  ) = 0
     0.786 ( 0.002 ms): sleep/8 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f7571a76000
     0.792 ( 0.003 ms): sleep/8 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f75714ba000
     0.796 ( 0.004 ms): sleep/8 mprotect(start: 0x7f757164f000, len: 2097152                          ) = 0
     0.802 ( 0.005 ms): sleep/8 mmap(addr: 0x7f757184f000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f757184f000
     0.810 ( 0.003 ms): sleep/8 mmap(addr: 0x7f7571855000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f7571855000
     0.818 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     0.828 ( 0.001 ms): sleep/8 arch_prctl(option: 4098, arg2: 140142394700928                        ) = 0
     0.870 ( 0.004 ms): sleep/8 mprotect(start: 0x7f757184f000, len: 16384, prot: READ                ) = 0
     0.879 ( 0.003 ms): sleep/8 mprotect(start: 0x555ed32c9000, len: 4096, prot: READ                 ) = 0
     0.885 ( 0.003 ms): sleep/8 mprotect(start: 0x7f7571a7c000, len: 4096, prot: READ                 ) = 0
     0.889 ( 0.004 ms): sleep/8 munmap(addr: 0x7f7571a78000, len: 13580                               ) = 0
     0.937 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x555ed4a43000
     0.939 ( 0.002 ms): sleep/8 brk(brk: 0x555ed4a64000                                               ) = 0x555ed4a64000
     0.960 ([33m 0.148 ms[m): sleep/8 nanosleep(rqtp: 0x7ffe4205bdc0                                        ) = 0
     1.119 ( 0.001 ms): sleep/8 close(fd: 1                                                           ) = 0
     1.122 ( 0.001 ms): sleep/8 close(fd: 2                                                           ) = 0
     1.125 (     ?   ): sleep/8 exit_group(                                                           )
