         ? (     ?   ): pesquisaOverhe/9  ... [[33mcontinued[m]: execve()) = 0
     0.477 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x28, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.479 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x28, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.480 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x29, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.482 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x29, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.484 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x2a, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.485 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x2a, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.487 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x2b, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.488 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x2b, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.490 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x2c, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.491 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x2c, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.493 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x2d, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.495 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x2d, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.496 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x2e, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.498 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x2e, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.500 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x2f, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.501 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x2f, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.503 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x30, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.504 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x30, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.506 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x31, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.508 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x31, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.509 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x32, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.511 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x32, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.512 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x33, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.514 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x33, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.515 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x34, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.517 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x34, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.519 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x35, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.520 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x35, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.522 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x36, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.523 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x36, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.525 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x37, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.527 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x37, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.528 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x38, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.530 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x38, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.531 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x39, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.533 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x39, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.535 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x3a, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.537 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x3a, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.538 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x3b, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.540 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x3b, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.542 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x3c, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.544 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x3c, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.545 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x3d, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.547 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x3d, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.549 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x3e, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.551 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x3e, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.553 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x3f, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.555 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x3f, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.557 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x40, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.559 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x40, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.561 ( 0.001 ms): pesquisaOverhe/10 rt_sigprocmask(how: SETMASK, nset: 0x7ffde9161478, sigsetsize: 8      ) = 0
     0.570 ([33m 0.012 ms[m): pesquisaOverhe/10 execve(filename: 0xbfb9fd80, argv: 0x7ffde9161720                     ) = -2
     0.584 ( 0.004 ms): pesquisaOverhe/10 execve(filename: 0xbfb9fd80, argv: 0x7ffde9161720                     ) = -2
     0.589 ( 0.003 ms): pesquisaOverhe/10 execve(filename: 0xbfb9fd80, argv: 0x7ffde9161720                     ) = -2
     0.593 ( 0.003 ms): pesquisaOverhe/10 execve(filename: 0xbfb9fd80, argv: 0x7ffde9161720                     ) = -2
     0.596 ( 0.003 ms): pesquisaOverhe/10 execve(filename: 0xbfb9fd80, argv: 0x7ffde9161720                     ) = -2
     0.600 ([33m 0.012 ms[m): pesquisaOverhe/10 execve(filename: 0xbfb9fd80, argv: 0x7ffde9161720                     ) = -2
     0.201 ([33m 0.467 ms[m): pesquisaOverhe/9  ... [[33mcontinued[m]: clone()) = 10 (pesquisaOverhea)
     0.613 ([33m 0.056 ms[m): pesquisaOverhe/10 execve(filename: 0xbfb9fd80, argv: 0x7ffde9161720                     ) ...
     0.670 ( 0.001 ms): pesquisaOverhe/9 close(fd: 4                                                           ) = 0
     0.613 ([33m 0.100 ms[m): sleep/10  ... [[33mcontinued[m]: execve()) = 0
     0.672 ([33m 0.047 ms[m): pesquisaOverhe/9 read(fd: 3, buf: 0x7ffde91613e8, count: 4                             ) = 0
     0.721 ( 0.004 ms): pesquisaOverhe/9 munmap(addr: 0x7fe1bfb97000, len: 36864                               ) = 0
     0.726 ( 0.001 ms): pesquisaOverhe/9 close(fd: 3                                                           ) = 0
     0.729 ( 0.001 ms): pesquisaOverhe/9 rt_sigprocmask(how: SETMASK, nset: 0x7ffde9161478, sigsetsize: 8      ) = 0
     0.738 (     ?   ): pesquisaOverhe/9 exit_group(                                                           )
     0.811 ( 0.001 ms): sleep/10 brk(                                                                  ) = 0x55ffb10d8000
     0.825 ( 0.010 ms): sleep/10 access(filename: 0xbfddd4e7                                           ) = -1 ENOENT No such file or directory
     0.842 ( 0.003 ms): sleep/10 access(filename: 0xbfddfc70, mode: R                                  ) = -1 ENOENT No such file or directory
