     0.592 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, oact: 0x7f39b3871db0, sigsetsize: 8           ) = 0
     0.594 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, act: 0x7f39b3871d10, sigsetsize: 8            ) = 0
     0.596 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, oact: 0x7f39b3871db0, sigsetsize: 8           ) = 0
     0.597 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, act: 0x7f39b3871d10, sigsetsize: 8            ) = 0
     0.599 ( 0.001 ms): pesquisaOverhe/8 rt_sigprocmask(how: SETMASK, nset: 0x7ffc91667708, sigsetsize: 8      ) = 0
     0.604 ([33m 0.077 ms[m): sleep/8 execve(filename: 0xa2b78a36, argv: 0x7ffc916679b0                     ) = 0
     0.694 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x55fb40d3c000
     0.708 ( 0.004 ms): sleep/8 access(filename: 0x8e19a4e7                                           ) = -1 ENOENT No such file or directory
     0.715 ( 0.002 ms): sleep/8 access(filename: 0x8e19cc70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.720 ( 0.004 ms): sleep/8 open(filename: 0x8e19a988, flags: CLOEXEC                             ) = 3
     0.725 ( 0.002 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffc18c18730                                  ) = 0
     0.728 ( 0.003 ms): sleep/8 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7fe38e39c000
     0.732 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     0.736 ( 0.002 ms): sleep/8 access(filename: 0x8e19a4e7                                           ) = -1 ENOENT No such file or directory
     0.740 ( 0.005 ms): sleep/8 open(filename: 0x8e3a2d68, flags: CLOEXEC                             ) = 3
     0.745 ( 0.002 ms): sleep/8 read(fd: 3, buf: 0x7ffc18c188d8, count: 832                           ) = 832
     0.748 ( 0.001 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffc18c18770                                  ) = 0
     0.751 ( 0.002 ms): sleep/8 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7fe38e39a000
     0.755 ( 0.002 ms): sleep/8 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7fe38ddde000
     0.758 ( 0.004 ms): sleep/8 mprotect(start: 0x7fe38df73000, len: 2097152                          ) = 0
     0.763 ( 0.003 ms): sleep/8 mmap(addr: 0x7fe38e173000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7fe38e173000
     0.770 ( 0.002 ms): sleep/8 mmap(addr: 0x7fe38e179000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7fe38e179000
     0.776 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     0.785 ( 0.001 ms): sleep/8 arch_prctl(option: 4098, arg2: 140615320450176                        ) = 0
     0.819 ( 0.003 ms): sleep/8 mprotect(start: 0x7fe38e173000, len: 16384, prot: READ                ) = 0
     0.825 ( 0.002 ms): sleep/8 mprotect(start: 0x55fb40423000, len: 4096, prot: READ                 ) = 0
     0.828 ( 0.002 ms): sleep/8 mprotect(start: 0x7fe38e3a0000, len: 4096, prot: READ                 ) = 0
     0.831 ( 0.003 ms): sleep/8 munmap(addr: 0x7fe38e39c000, len: 13580                               ) = 0
     0.873 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x55fb40d3c000
     0.875 ( 0.002 ms): sleep/8 brk(brk: 0x55fb40d5d000                                               ) = 0x55fb40d5d000
     0.890 ([33m 0.056 ms[m): sleep/8 nanosleep(rqtp: 0x7ffc18c19080                                        ) = 0
     0.952 ( 0.001 ms): sleep/8 close(fd: 1                                                           ) = 0
     0.954 ( 0.001 ms): sleep/8 close(fd: 2                                                           ) = 0
     0.958 (     ?   ): sleep/8 exit_group(                                                           )
