     0.513 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x35, oact: 0x7f399b52edb0, sigsetsize: 8           ) = 0
     0.515 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x35, act: 0x7f399b52ed10, sigsetsize: 8            ) = 0
     0.517 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x36, oact: 0x7f399b52edb0, sigsetsize: 8           ) = 0
     0.519 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x36, act: 0x7f399b52ed10, sigsetsize: 8            ) = 0
     0.521 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x37, oact: 0x7f399b52edb0, sigsetsize: 8           ) = 0
     0.523 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x37, act: 0x7f399b52ed10, sigsetsize: 8            ) = 0
     0.525 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x38, oact: 0x7f399b52edb0, sigsetsize: 8           ) = 0
     0.527 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x38, act: 0x7f399b52ed10, sigsetsize: 8            ) = 0
     0.529 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x39, oact: 0x7f399b52edb0, sigsetsize: 8           ) = 0
     0.532 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x39, act: 0x7f399b52ed10, sigsetsize: 8            ) = 0
     0.534 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3a, oact: 0x7f399b52edb0, sigsetsize: 8           ) = 0
     0.536 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3a, act: 0x7f399b52ed10, sigsetsize: 8            ) = 0
     0.538 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3b, oact: 0x7f399b52edb0, sigsetsize: 8           ) = 0
     0.540 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3b, act: 0x7f399b52ed10, sigsetsize: 8            ) = 0
     0.542 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3c, oact: 0x7f399b52edb0, sigsetsize: 8           ) = 0
     0.544 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3c, act: 0x7f399b52ed10, sigsetsize: 8            ) = 0
     0.546 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3d, oact: 0x7f399b52edb0, sigsetsize: 8           ) = 0
     0.548 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3d, act: 0x7f399b52ed10, sigsetsize: 8            ) = 0
     0.550 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3e, oact: 0x7f399b52edb0, sigsetsize: 8           ) = 0
     0.552 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3e, act: 0x7f399b52ed10, sigsetsize: 8            ) = 0
     0.554 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, oact: 0x7f399b52edb0, sigsetsize: 8           ) = 0
     0.556 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, act: 0x7f399b52ed10, sigsetsize: 8            ) = 0
     0.558 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, oact: 0x7f399b52edb0, sigsetsize: 8           ) = 0
     0.560 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, act: 0x7f399b52ed10, sigsetsize: 8            ) = 0
     0.562 ( 0.001 ms): pesquisaOverhe/8 rt_sigprocmask(how: SETMASK, nset: 0x7fff6a5b2388, sigsetsize: 8      ) = 0
     0.568 ([33m 0.084 ms[m): sleep/8 execve(filename: 0xe2004a36, argv: 0x7fff6a5b2630                     ) = 0
     0.666 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x55efe99f6000
