     0.593 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x37, act: 0x7f88a2792d10, sigsetsize: 8            ) = 0
     0.595 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x38, oact: 0x7f88a2792db0, sigsetsize: 8           ) = 0
     0.597 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x38, act: 0x7f88a2792d10, sigsetsize: 8            ) = 0
     0.599 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x39, oact: 0x7f88a2792db0, sigsetsize: 8           ) = 0
     0.601 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x39, act: 0x7f88a2792d10, sigsetsize: 8            ) = 0
     0.603 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3a, oact: 0x7f88a2792db0, sigsetsize: 8           ) = 0
     0.605 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3a, act: 0x7f88a2792d10, sigsetsize: 8            ) = 0
     0.607 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3b, oact: 0x7f88a2792db0, sigsetsize: 8           ) = 0
     0.609 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3b, act: 0x7f88a2792d10, sigsetsize: 8            ) = 0
     0.611 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3c, oact: 0x7f88a2792db0, sigsetsize: 8           ) = 0
     0.613 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3c, act: 0x7f88a2792d10, sigsetsize: 8            ) = 0
     0.615 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3d, oact: 0x7f88a2792db0, sigsetsize: 8           ) = 0
     0.617 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3d, act: 0x7f88a2792d10, sigsetsize: 8            ) = 0
     0.619 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3e, oact: 0x7f88a2792db0, sigsetsize: 8           ) = 0
     0.621 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3e, act: 0x7f88a2792d10, sigsetsize: 8            ) = 0
     0.623 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, oact: 0x7f88a2792db0, sigsetsize: 8           ) = 0
     0.625 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, act: 0x7f88a2792d10, sigsetsize: 8            ) = 0
     0.627 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, oact: 0x7f88a2792db0, sigsetsize: 8           ) = 0
     0.629 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, act: 0x7f88a2792d10, sigsetsize: 8            ) = 0
     0.631 ( 0.001 ms): pesquisaOverhe/8 rt_sigprocmask(how: SETMASK, nset: 0x7fff4358acd8, sigsetsize: 8      ) = 0
     0.637 ([33m 0.084 ms[m): sleep/8 execve(filename: 0x94ab8a36, argv: 0x7fff4358af80                     ) = 0
     0.737 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x5563c2254000
     0.750 ( 0.003 ms): sleep/8 access(filename: 0x973e44e7                                           ) = -1 ENOENT No such file or directory
     0.755 ( 0.002 ms): sleep/8 access(filename: 0x973e6c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.761 ( 0.004 ms): sleep/8 open(filename: 0x973e4988, flags: CLOEXEC                             ) = 3
     0.766 ( 0.003 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffe94f97f10                                  ) = 0
     0.770 ( 0.003 ms): sleep/8 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7ff7975e6000
     0.774 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     0.777 ( 0.002 ms): sleep/8 access(filename: 0x973e44e7                                           ) = -1 ENOENT No such file or directory
     0.782 ( 0.005 ms): sleep/8 open(filename: 0x975ecd68, flags: CLOEXEC                             ) = 3
     0.788 ( 0.002 ms): sleep/8 read(fd: 3, buf: 0x7ffe94f980b8, count: 832                           ) = 832
     0.791 ( 0.001 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffe94f97f50                                  ) = 0
     0.794 ( 0.003 ms): sleep/8 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7ff7975e4000
     0.800 ( 0.003 ms): sleep/8 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7ff797028000
     0.804 ( 0.005 ms): sleep/8 mprotect(start: 0x7ff7971bd000, len: 2097152                          ) = 0
     0.810 ( 0.008 ms): sleep/8 mmap(addr: 0x7ff7973bd000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7ff7973bd000
