         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.603 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2d, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.605 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2d, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.607 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2e, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.609 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2e, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.610 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2f, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.612 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2f, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.614 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x30, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.616 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x30, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.618 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x31, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.620 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x31, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.622 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x32, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.624 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x32, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.626 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x33, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.628 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x33, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.630 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x34, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.632 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x34, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.634 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x35, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.636 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x35, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.638 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x36, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.640 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x36, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.642 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x37, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.644 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x37, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.646 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x38, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.648 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x38, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.650 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x39, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.653 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x39, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.655 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3a, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.657 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3a, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.659 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3b, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.661 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3b, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.663 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3c, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.665 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3c, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.668 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3d, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.670 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3d, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.672 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3e, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.674 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3e, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.676 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3f, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.678 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3f, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.680 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x40, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.682 ( 0.002 ms): sleep/8 rt_sigaction(sig: 0x40, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.686 ( 0.005 ms): sleep/8 rt_sigprocmask(how: SETMASK, nset: 0x7ffd7837b788, sigsetsize: 8      ) = 0
