         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.487 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x24, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.489 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x25, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.491 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x25, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.493 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x26, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.495 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x26, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.497 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x27, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.499 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x27, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.501 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x28, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.503 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x28, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.504 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x29, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.506 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x29, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.508 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2a, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.510 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2a, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.512 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2b, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.514 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2b, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.516 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2c, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.518 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2c, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.519 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2d, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.521 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2d, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.523 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2e, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.525 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2e, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.527 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2f, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.529 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2f, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.531 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x30, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.533 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x30, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.535 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x31, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.537 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x31, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.539 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x32, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.541 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x32, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.543 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x33, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.545 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x33, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.547 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x34, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.549 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x34, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.551 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x35, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.553 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x35, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.555 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x36, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.557 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x36, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.559 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x37, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
