     0.498 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x30, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.500 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x30, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.502 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x31, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.504 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x31, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.506 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x32, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.508 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x32, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.510 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x33, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.511 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x33, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.513 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x34, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.515 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x34, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.517 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x35, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.519 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x35, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.521 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x36, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.523 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x36, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.525 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x37, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.527 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x37, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.529 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x38, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.531 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x38, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.533 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x39, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.535 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x39, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.537 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3a, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.539 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3a, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.541 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3b, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.543 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3b, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.546 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3c, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.548 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3c, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.550 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3d, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.552 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3d, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.554 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3e, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.556 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3e, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.558 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.560 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.562 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.564 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.566 ( 0.001 ms): pesquisaOverhe/8 rt_sigprocmask(how: SETMASK, nset: 0x7fff57f0d648, sigsetsize: 8      ) = 0
     0.575 ([33m 0.016 ms[m): pesquisaOverhe/8 execve(filename: 0xdbb20d80, argv: 0x7fff57f0d8f0                     ) = -2
     0.593 ( 0.004 ms): pesquisaOverhe/8 execve(filename: 0xdbb20d80, argv: 0x7fff57f0d8f0                     ) = -2
     0.598 ( 0.004 ms): pesquisaOverhe/8 execve(filename: 0xdbb20d80, argv: 0x7fff57f0d8f0                     ) = -2
     0.604 ( 0.004 ms): pesquisaOverhe/8 execve(filename: 0xdbb20d80, argv: 0x7fff57f0d8f0                     ) = -2
     0.609 ( 0.004 ms): pesquisaOverhe/8 execve(filename: 0xdbb20d80, argv: 0x7fff57f0d8f0                     ) = -2
     0.615 ( 0.010 ms): pesquisaOverhe/8 execve(filename: 0xdbb20d80, argv: 0x7fff57f0d8f0                     ) = -2
     0.625 ([33m 0.071 ms[m): sleep/8 execve(filename: 0xdbb20d80, argv: 0x7fff57f0d8f0                     ) = 0
     0.715 ( 0.002 ms): sleep/8 brk(                                                                  ) = 0x55988e98c000
     0.732 ( 0.003 ms): sleep/8 access(filename: 0x557ff4e7                                           ) = -1 ENOENT No such file or directory
     0.738 ( 0.004 ms): sleep/8 access(filename: 0x55801c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.746 ( 0.004 ms): sleep/8 open(filename: 0x557ff988, flags: CLOEXEC                             ) = 3
     0.750 ( 0.002 ms): sleep/8 fstat(fd: 3, statbuf: 0x7fffe929fc90                                  ) = 0
     0.754 ( 0.003 ms): sleep/8 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f8d55a01000
     0.758 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     0.762 ( 0.002 ms): sleep/8 access(filename: 0x557ff4e7                                           ) = -1 ENOENT No such file or directory
     0.766 ( 0.005 ms): sleep/8 open(filename: 0x55a07d68, flags: CLOEXEC                             ) = 3
     0.772 ( 0.002 ms): sleep/8 read(fd: 3, buf: 0x7fffe929fe38, count: 832                           ) = 832
     0.775 ( 0.001 ms): sleep/8 fstat(fd: 3, statbuf: 0x7fffe929fcd0                                  ) = 0
     0.778 ( 0.003 ms): sleep/8 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f8d559ff000
     0.784 ( 0.003 ms): sleep/8 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f8d55443000
     0.789 ( 0.005 ms): sleep/8 mprotect(start: 0x7f8d555d8000, len: 2097152                          ) = 0
     0.795 ( 0.005 ms): sleep/8 mmap(addr: 0x7f8d557d8000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f8d557d8000
     0.804 ( 0.003 ms): sleep/8 mmap(addr: 0x7f8d557de000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f8d557de000
     0.813 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     0.825 ( 0.001 ms): sleep/8 arch_prctl(option: 4098, arg2: 140245003666560                        ) = 0
     0.865 ( 0.004 ms): sleep/8 mprotect(start: 0x7f8d557d8000, len: 16384, prot: READ                ) = 0
     0.873 ( 0.003 ms): sleep/8 mprotect(start: 0x55988e3f7000, len: 4096, prot: READ                 ) = 0
     0.878 ( 0.002 ms): sleep/8 mprotect(start: 0x7f8d55a05000, len: 4096, prot: READ                 ) = 0
     0.882 ( 0.004 ms): sleep/8 munmap(addr: 0x7f8d55a01000, len: 13580                               ) = 0
     0.930 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x55988e98c000
     0.933 ( 0.003 ms): sleep/8 brk(brk: 0x55988e9ad000                                               ) = 0x55988e9ad000
     0.954 ([33m 0.086 ms[m): sleep/8 nanosleep(rqtp: 0x7fffe92a05e0                                        ) = 0
     1.049 ( 0.002 ms): sleep/8 close(fd: 1                                                           ) = 0
     1.049 ( 0.005 ms): sleep/8  ... [[33mcontinued[m]: close()) = 0
