         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.022 ( 0.001 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x55b78bf0e000
     0.759 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3c, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.762 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3c, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.765 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3d, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.768 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3d, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.770 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3e, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.773 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3e, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.775 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.778 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.780 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.781 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.783 ( 0.001 ms): pesquisaOverhe/8 rt_sigprocmask(how: SETMASK, nset: 0x7ffe0bdc63b8, sigsetsize: 8      ) = 0
     0.801 ([33m 0.030 ms[m): pesquisaOverhe/8 execve(filename: 0xd794d80, argv: 0x7ffe0bdc6660                      ) = -2
     0.834 ( 0.008 ms): pesquisaOverhe/8 execve(filename: 0xd794d80, argv: 0x7ffe0bdc6660                      ) = -2
     0.843 ( 0.004 ms): pesquisaOverhe/8 execve(filename: 0xd794d80, argv: 0x7ffe0bdc6660                      ) = -2
     0.849 ( 0.006 ms): pesquisaOverhe/8 execve(filename: 0xd794d80, argv: 0x7ffe0bdc6660                      ) = -2
     0.856 ( 0.006 ms): pesquisaOverhe/8 execve(filename: 0xd794d80, argv: 0x7ffe0bdc6660                      ) = -2
     0.864 ([33m 0.016 ms[m): pesquisaOverhe/8 execve(filename: 0xd794d80, argv: 0x7ffe0bdc6660                      ) = -2
     0.882 ([33m 0.215 ms[m): sleep/8 execve(filename: 0xd794d80, argv: 0x7ffe0bdc6660                      ) = 0
     1.114 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x557288d9f000
     1.130 ( 0.004 ms): sleep/8 access(filename: 0x1574c4e7                                           ) = -1 ENOENT No such file or directory
     1.136 ( 0.002 ms): sleep/8 access(filename: 0x1574ec70, mode: R                                  ) = -1 ENOENT No such file or directory
     1.143 ( 0.004 ms): sleep/8 open(filename: 0x1574c988, flags: CLOEXEC                             ) = 3
     1.149 ( 0.003 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffea9c820c0                                  ) = 0
     1.153 ( 0.003 ms): sleep/8 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7fad1594e000
     1.157 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     1.161 ( 0.002 ms): sleep/8 access(filename: 0x1574c4e7                                           ) = -1 ENOENT No such file or directory
     1.165 ( 0.005 ms): sleep/8 open(filename: 0x15954d68, flags: CLOEXEC                             ) = 3
     1.171 ( 0.002 ms): sleep/8 read(fd: 3, buf: 0x7ffea9c82268, count: 832                           ) = 832
     1.175 ( 0.001 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffea9c82100                                  ) = 0
     1.179 ( 0.002 ms): sleep/8 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7fad1594c000
     1.185 ( 0.003 ms): sleep/8 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7fad15390000
     1.189 ( 0.006 ms): sleep/8 mprotect(start: 0x7fad15525000, len: 2097152                          ) = 0
     1.196 ( 0.005 ms): sleep/8 mmap(addr: 0x7fad15725000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7fad15725000
     1.205 ( 0.003 ms): sleep/8 mmap(addr: 0x7fad1572b000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7fad1572b000
     1.216 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     1.230 ( 0.002 ms): sleep/8 arch_prctl(option: 4098, arg2: 140381368145024                        ) = 0
     1.275 ( 0.005 ms): sleep/8 mprotect(start: 0x7fad15725000, len: 16384, prot: READ                ) = 0
     1.283 ( 0.003 ms): sleep/8 mprotect(start: 0x557288c3f000, len: 4096, prot: READ                 ) = 0
     1.289 ( 0.003 ms): sleep/8 mprotect(start: 0x7fad15952000, len: 4096, prot: READ                 ) = 0
     1.293 ( 0.004 ms): sleep/8 munmap(addr: 0x7fad1594e000, len: 13580                               ) = 0
     1.351 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x557288d9f000
     1.353 ( 0.002 ms): sleep/8 brk(brk: 0x557288dc0000                                               ) = 0x557288dc0000
     1.373 ([33m 0.574 ms[m): sleep/8 nanosleep(rqtp: 0x7ffea9c82a10                                        ) = 0
     1.963 ( 0.001 ms): sleep/8 close(fd: 1                                                           ) = 0
     1.966 ( 0.001 ms): sleep/8 close(fd: 2                                                           ) = 0
     1.972 (     ?   ): sleep/8 exit_group(                                                           )
