         ? (     ?   ): pesquisaOverhe/6  ... [[33mcontinued[m]: execve()) = 0
     0.410 ( 0.001 ms): sleep/7 rt_sigaction(sig: XFSZ, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.412 ( 0.001 ms): sleep/7 rt_sigaction(sig: VTALRM, oact: 0x7f109a773db0, sigsetsize: 8         ) = 0
     0.414 ( 0.001 ms): sleep/7 rt_sigaction(sig: VTALRM, act: 0x7f109a773d10, sigsetsize: 8          ) = 0
     0.417 ( 0.001 ms): sleep/7 rt_sigaction(sig: PROF, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.419 ( 0.001 ms): sleep/7 rt_sigaction(sig: PROF, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.421 ( 0.001 ms): sleep/7 rt_sigaction(sig: WINCH, oact: 0x7f109a773db0, sigsetsize: 8          ) = 0
     0.423 ( 0.001 ms): sleep/7 rt_sigaction(sig: WINCH, act: 0x7f109a773d10, sigsetsize: 8           ) = 0
     0.425 ( 0.001 ms): sleep/7 rt_sigaction(sig: IO, oact: 0x7f109a773db0, sigsetsize: 8             ) = 0
     0.427 ( 0.001 ms): sleep/7 rt_sigaction(sig: IO, act: 0x7f109a773d10, sigsetsize: 8              ) = 0
     0.429 ( 0.001 ms): sleep/7 rt_sigaction(sig: PWR, oact: 0x7f109a773db0, sigsetsize: 8            ) = 0
     0.431 ( 0.001 ms): sleep/7 rt_sigaction(sig: PWR, act: 0x7f109a773d10, sigsetsize: 8             ) = 0
     0.433 ( 0.001 ms): sleep/7 rt_sigaction(sig: SYS, oact: 0x7f109a773db0, sigsetsize: 8            ) = 0
     0.435 ( 0.001 ms): sleep/7 rt_sigaction(sig: SYS, act: 0x7f109a773d10, sigsetsize: 8             ) = 0
     0.436 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x20, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.438 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x21, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.440 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x22, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.442 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x22, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.444 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x23, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
