         ? (     ?   ): pesquisaOverhe/8  ... [[33mcontinued[m]: execve()) = 0
     0.020 ( 0.001 ms): pesquisaOverhe/8 brk(                                                                  ) = 0x55d52c105000
     0.512 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x29, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.513 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2a, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.515 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2a, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.517 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2b, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.518 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2b, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.520 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2c, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.521 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2c, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.523 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2d, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.525 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2d, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.527 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2e, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.528 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2e, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.530 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2f, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.532 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2f, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.533 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x30, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.535 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x30, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.536 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x31, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.538 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x31, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.540 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x32, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.541 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x32, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.543 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x33, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.544 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x33, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.546 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x34, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.548 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x34, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.549 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x35, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.551 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x35, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.552 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x36, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.554 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x36, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.556 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x37, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.558 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x37, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
