         ? (     ?   ): pesquisaOverhe/8  ... [[33mcontinued[m]: execve()) = 0
     0.019 ( 0.001 ms): pesquisaOverhe/8 brk(                                                                  ) = 0x55fabd628000
     2.423 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: WINCH, oact: 0x7f2f9470ddb0, sigsetsize: 8          ) = 0
     2.425 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: WINCH, act: 0x7f2f9470dd10, sigsetsize: 8           ) = 0
     2.427 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: IO, oact: 0x7f2f9470ddb0, sigsetsize: 8             ) = 0
     2.429 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: IO, act: 0x7f2f9470dd10, sigsetsize: 8              ) = 0
     2.431 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: PWR, oact: 0x7f2f9470ddb0, sigsetsize: 8            ) = 0
     2.434 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: PWR, act: 0x7f2f9470dd10, sigsetsize: 8             ) = 0
     2.436 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: SYS, oact: 0x7f2f9470ddb0, sigsetsize: 8            ) = 0
     2.438 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: SYS, act: 0x7f2f9470dd10, sigsetsize: 8             ) = 0
     2.440 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x20, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.442 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x21, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.444 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x22, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.446 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x22, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.448 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x23, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.450 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x23, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
