         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.020 ( 0.001 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x55ac38871000
     0.640 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3b, oact: 0x7f80585f4db0, sigsetsize: 8           ) = 0
     0.642 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3b, act: 0x7f80585f4d10, sigsetsize: 8            ) = 0
     0.644 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3c, oact: 0x7f80585f4db0, sigsetsize: 8           ) = 0
     0.646 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3c, act: 0x7f80585f4d10, sigsetsize: 8            ) = 0
     0.648 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3d, oact: 0x7f80585f4db0, sigsetsize: 8           ) = 0
     0.650 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3d, act: 0x7f80585f4d10, sigsetsize: 8            ) = 0
     0.652 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3e, oact: 0x7f80585f4db0, sigsetsize: 8           ) = 0
     0.654 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3e, act: 0x7f80585f4d10, sigsetsize: 8            ) = 0
     0.656 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, oact: 0x7f80585f4db0, sigsetsize: 8           ) = 0
     0.658 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, act: 0x7f80585f4d10, sigsetsize: 8            ) = 0
     0.661 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, oact: 0x7f80585f4db0, sigsetsize: 8           ) = 0
     0.663 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, act: 0x7f80585f4d10, sigsetsize: 8            ) = 0
     0.665 ( 0.001 ms): pesquisaOverhe/8 rt_sigprocmask(how: SETMASK, nset: 0x7ffd110cae78, sigsetsize: 8      ) = 0
     0.672 ([33m 0.109 ms[m): sleep/8 execve(filename: 0x38253a36, argv: 0x7ffd110cb120                     ) = 0
     0.794 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x55555f6bf000
     0.809 ( 0.004 ms): sleep/8 access(filename: 0x649104e7                                           ) = -1 ENOENT No such file or directory
     0.815 ( 0.002 ms): sleep/8 access(filename: 0x64912c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.821 ( 0.004 ms): sleep/8 open(filename: 0x64910988, flags: CLOEXEC                             ) = 3
     0.826 ( 0.002 ms): sleep/8 fstat(fd: 3, statbuf: 0x7fffe1a34b50                                  ) = 0
     0.830 ( 0.003 ms): sleep/8 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f6e64b12000
     0.835 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     0.839 ( 0.002 ms): sleep/8 access(filename: 0x649104e7                                           ) = -1 ENOENT No such file or directory
     0.843 ( 0.005 ms): sleep/8 open(filename: 0x64b18d68, flags: CLOEXEC                             ) = 3
     0.849 ( 0.002 ms): sleep/8 read(fd: 3, buf: 0x7fffe1a34cf8, count: 832                           ) = 832
     0.853 ( 0.002 ms): sleep/8 fstat(fd: 3, statbuf: 0x7fffe1a34b90                                  ) = 0
     0.856 ( 0.003 ms): sleep/8 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f6e64b10000
