     0.508 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x32, oact: 0x7ff9dca94db0, sigsetsize: 8           ) = 0
     0.511 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x32, act: 0x7ff9dca94d10, sigsetsize: 8            ) = 0
     0.513 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x33, oact: 0x7ff9dca94db0, sigsetsize: 8           ) = 0
     0.514 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x33, act: 0x7ff9dca94d10, sigsetsize: 8            ) = 0
     0.516 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x34, oact: 0x7ff9dca94db0, sigsetsize: 8           ) = 0
     0.518 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x34, act: 0x7ff9dca94d10, sigsetsize: 8            ) = 0
     0.520 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x35, oact: 0x7ff9dca94db0, sigsetsize: 8           ) = 0
     0.522 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x35, act: 0x7ff9dca94d10, sigsetsize: 8            ) = 0
     0.523 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x36, oact: 0x7ff9dca94db0, sigsetsize: 8           ) = 0
     0.525 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x36, act: 0x7ff9dca94d10, sigsetsize: 8            ) = 0
     0.527 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x37, oact: 0x7ff9dca94db0, sigsetsize: 8           ) = 0
     0.529 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x37, act: 0x7ff9dca94d10, sigsetsize: 8            ) = 0
     0.531 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x38, oact: 0x7ff9dca94db0, sigsetsize: 8           ) = 0
     0.533 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x38, act: 0x7ff9dca94d10, sigsetsize: 8            ) = 0
     0.534 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x39, oact: 0x7ff9dca94db0, sigsetsize: 8           ) = 0
     0.536 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x39, act: 0x7ff9dca94d10, sigsetsize: 8            ) = 0
     0.538 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3a, oact: 0x7ff9dca94db0, sigsetsize: 8           ) = 0
     0.540 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3a, act: 0x7ff9dca94d10, sigsetsize: 8            ) = 0
     0.542 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3b, oact: 0x7ff9dca94db0, sigsetsize: 8           ) = 0
     0.544 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3b, act: 0x7ff9dca94d10, sigsetsize: 8            ) = 0
     0.546 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3c, oact: 0x7ff9dca94db0, sigsetsize: 8           ) = 0
     0.548 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3c, act: 0x7ff9dca94d10, sigsetsize: 8            ) = 0
     0.550 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3d, oact: 0x7ff9dca94db0, sigsetsize: 8           ) = 0
     0.552 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3d, act: 0x7ff9dca94d10, sigsetsize: 8            ) = 0
     0.554 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3e, oact: 0x7ff9dca94db0, sigsetsize: 8           ) = 0
     0.556 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3e, act: 0x7ff9dca94d10, sigsetsize: 8            ) = 0
     0.558 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3f, oact: 0x7ff9dca94db0, sigsetsize: 8           ) = 0
     0.560 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3f, act: 0x7ff9dca94d10, sigsetsize: 8            ) = 0
     0.562 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x40, oact: 0x7ff9dca94db0, sigsetsize: 8           ) = 0
     0.564 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x40, act: 0x7ff9dca94d10, sigsetsize: 8            ) = 0
     0.566 ( 0.001 ms): pesquisaOverhe/7 rt_sigprocmask(how: SETMASK, nset: 0x7fff2bbcf738, sigsetsize: 8      ) = 0
     0.575 ([33m 0.023 ms[m): pesquisaOverhe/7 execve(filename: 0xdca94d80, argv: 0x7fff2bbcf9e0                     ) = -2
     0.599 ( 0.005 ms): pesquisaOverhe/7 execve(filename: 0xdca94d80, argv: 0x7fff2bbcf9e0                     ) = -2
     0.605 ( 0.004 ms): pesquisaOverhe/7 execve(filename: 0xdca94d80, argv: 0x7fff2bbcf9e0                     ) = -2
     0.610 ( 0.004 ms): pesquisaOverhe/7 execve(filename: 0xdca94d80, argv: 0x7fff2bbcf9e0                     ) = -2
     0.615 ( 0.004 ms): pesquisaOverhe/7 execve(filename: 0xdca94d80, argv: 0x7fff2bbcf9e0                     ) = -2
     0.620 ( 0.010 ms): pesquisaOverhe/7 execve(filename: 0xdca94d80, argv: 0x7fff2bbcf9e0                     ) = -2
     0.631 ([33m 0.075 ms[m): sleep/7 execve(filename: 0xdca94d80, argv: 0x7fff2bbcf9e0                     ) = 0
     0.719 ( 0.001 ms): sleep/7 brk(                                                                  ) = 0x55d3f32ff000
     0.733 ( 0.003 ms): sleep/7 access(filename: 0x63b144e7                                           ) = -1 ENOENT No such file or directory
     0.738 ( 0.002 ms): sleep/7 access(filename: 0x63b16c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.743 ( 0.004 ms): sleep/7 open(filename: 0x63b14988, flags: CLOEXEC                             ) = 3
     0.748 ( 0.002 ms): sleep/7 fstat(fd: 3, statbuf: 0x7ffed698f740                                  ) = 0
     0.751 ( 0.003 ms): sleep/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f6563d16000
     0.755 ( 0.001 ms): sleep/7 close(fd: 3                                                           ) = 0
     0.759 ( 0.002 ms): sleep/7 access(filename: 0x63b144e7                                           ) = -1 ENOENT No such file or directory
     0.763 ( 0.005 ms): sleep/7 open(filename: 0x63d1cd68, flags: CLOEXEC                             ) = 3
     0.769 ( 0.002 ms): sleep/7 read(fd: 3, buf: 0x7ffed698f8e8, count: 832                           ) = 832
     0.774 ( 0.003 ms): sleep/7 fstat(fd: 3, statbuf: 0x7ffed698f780                                  ) = 0
     0.774 ( 0.008 ms): sleep/7  ... [[33mcontinued[m]: mmap()) = 0x7f6563d14000
