         ? (     ?   ): pesquisaOverhe/6  ... [[33mcontinued[m]: execve()) = 0
     0.019 ( 0.001 ms): pesquisaOverhe/6 brk(                                                                  ) = 0x5585c0ca6000
     0.591 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x40, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.593 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x40, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.595 ( 0.001 ms): pesquisaOverhe/7 rt_sigprocmask(how: SETMASK, nset: 0x7ffd6a029d08, sigsetsize: 8      ) = 0
     0.606 ([33m 0.023 ms[m): pesquisaOverhe/7 execve(filename: 0x83092d80, argv: 0x7ffd6a029fb0                     ) = -2
     0.630 ( 0.005 ms): pesquisaOverhe/7 execve(filename: 0x83092d80, argv: 0x7ffd6a029fb0                     ) = -2
     0.636 ( 0.004 ms): pesquisaOverhe/7 execve(filename: 0x83092d80, argv: 0x7ffd6a029fb0                     ) = -2
     0.641 ( 0.005 ms): pesquisaOverhe/7 execve(filename: 0x83092d80, argv: 0x7ffd6a029fb0                     ) = -2
     0.647 ( 0.004 ms): pesquisaOverhe/7 execve(filename: 0x83092d80, argv: 0x7ffd6a029fb0                     ) = -2
     0.652 ([33m 0.012 ms[m): pesquisaOverhe/7 execve(filename: 0x83092d80, argv: 0x7ffd6a029fb0                     ) = -2
     0.666 ([33m 0.103 ms[m): sleep/7 execve(filename: 0x83092d80, argv: 0x7ffd6a029fb0                     ) = 0
     0.787 ( 0.001 ms): sleep/7 brk(                                                                  ) = 0x5560579d3000
     0.801 ( 0.003 ms): sleep/7 access(filename: 0xdc0124e7                                           ) = -1 ENOENT No such file or directory
     0.806 ( 0.002 ms): sleep/7 access(filename: 0xdc014c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.812 ( 0.004 ms): sleep/7 open(filename: 0xdc012988, flags: CLOEXEC                             ) = 3
     0.817 ( 0.002 ms): sleep/7 fstat(fd: 3, statbuf: 0x7ffc4d39e1c0                                  ) = 0
     0.820 ( 0.003 ms): sleep/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f1cdc214000
     0.824 ( 0.001 ms): sleep/7 close(fd: 3                                                           ) = 0
     0.830 ( 0.004 ms): sleep/7 access(filename: 0xdc0124e7                                           ) = -1 ENOENT No such file or directory
