execve("./fileOverhead", ["./fileOverhead", "fork", "100"], [/* 4 vars */])                                             = 0 <0.000381>
open("files/file83.txt", O_WRONLY|O_CREAT|O_TRUNC, 0666)                                                                = 86 <0.000096>
open("files/file84.txt", O_WRONLY|O_CREAT|O_TRUNC, 0666)                                                                = 87 <0.000110>
open("files/file85.txt", O_WRONLY|O_CREAT|O_TRUNC, 0666)                                                                = 88 <0.000094>
open("files/file86.txt", O_WRONLY|O_CREAT|O_TRUNC, 0666)                                                                = 89 <0.000106>
open("files/file87.txt", O_WRONLY|O_CREAT|O_TRUNC, 0666)                                                                = 90 <0.000137>
open("files/file88.txt", O_WRONLY|O_CREAT|O_TRUNC, 0666)                                                                = 91 <0.000078>
open("files/file89.txt", O_WRONLY|O_CREAT|O_TRUNC, 0666)                                                                = 92 <0.000072>
open("files/file90.txt", O_WRONLY|O_CREAT|O_TRUNC, 0666)                                                                = 93 <0.000071>
open("files/file91.txt", O_WRONLY|O_CREAT|O_TRUNC, 0666)                                                                = 94 <0.000070>
open("files/file92.txt", O_WRONLY|O_CREAT|O_TRUNC, 0666)                                                                = 95 <0.000071>
open("files/file93.txt", O_WRONLY|O_CREAT|O_TRUNC, 0666)                                                                = 96 <0.000094>
open("files/file94.txt", O_WRONLY|O_CREAT|O_TRUNC, 0666)                                                                = 97 <0.000148>
open("files/file95.txt", O_WRONLY|O_CREAT|O_TRUNC, 0666)                                                                = 98 <0.000106>
open("files/file96.txt", O_WRONLY|O_CREAT|O_TRUNC, 0666)                                                                = 99 <0.000103>
open("files/file97.txt", O_WRONLY|O_CREAT|O_TRUNC, 0666)                                                                = 100 <0.000091>
open("files/file98.txt", O_WRONLY|O_CREAT|O_TRUNC, 0666)                                                                = 101 <0.000106>
open("files/file99.txt", O_WRONLY|O_CREAT|O_TRUNC, 0666)                                                                = 102 <0.000097>
clone(child_stack=NULL, flags=CLONE_CHILD_CLEARTID|CLONE_CHILD_SETTID|SIGCHLD, child_tidptr=0x7f831eaf0710)             = 8 <0.000242>
strace: Process 8 attached
[pid     7] write(1, "Fechando arquivos\n", 18Fechando arquivos
)                                                                         = 18 <0.000052>
[pid     8] write(1, "Fechando arquivos\n", 18Fechando arquivos
 <unfinished ...>
[pid     7] close(3 <unfinished ...>
[pid     8] <... write resumed> )                                                                                       = 18 <0.000068>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000069>
[pid     7] close(4)                                                                                                    = 0 <0.000034>
[pid     8] close(3 <unfinished ...>
[pid     7] close(5 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000063>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000070>
[pid     8] close(4 <unfinished ...>
[pid     7] close(6 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000056>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000066>
[pid     8] close(5 <unfinished ...>
[pid     7] close(7 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000055>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000059>
[pid     8] close(6 <unfinished ...>
[pid     7] close(8 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000057>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000062>
[pid     8] close(7 <unfinished ...>
[pid     7] close(9 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000057>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000062>
[pid     8] close(8 <unfinished ...>
[pid     7] close(10 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000057>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000058>
[pid     8] close(9 <unfinished ...>
[pid     7] close(11 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000056>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000062>
[pid     8] close(10 <unfinished ...>
[pid     7] close(12 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000058>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000060>
[pid     8] close(11 <unfinished ...>
[pid     7] close(13 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000054>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000058>
[pid     8] close(12 <unfinished ...>
[pid     7] close(14 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000057>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000059>
[pid     8] close(13 <unfinished ...>
[pid     7] close(15 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000056>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000062>
[pid     8] close(14 <unfinished ...>
[pid     7] close(16 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000056>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000059>
[pid     8] close(15 <unfinished ...>
[pid     7] close(17 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000055>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000059>
[pid     8] close(16 <unfinished ...>
[pid     7] close(18 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000056>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000095>
[pid     8] close(17 <unfinished ...>
[pid     7] close(19 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000067>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000076>
[pid     8] close(18 <unfinished ...>
[pid     7] close(20 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000068>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000071>
[pid     8] close(19 <unfinished ...>
[pid     7] close(21 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000072>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000085>
[pid     7] close(22 <unfinished ...>
[pid     8] close(20 <unfinished ...>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000069>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000072>
[pid     7] close(23)                                                                                                   = 0 <0.000055>
[pid     7] close(24 <unfinished ...>
[pid     8] close(21 <unfinished ...>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000059>
[pid     7] close(25 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000166>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000103>
[pid     8] close(22 <unfinished ...>
[pid     7] close(26 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000095>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000065>
[pid     8] close(23 <unfinished ...>
[pid     7] close(27 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000056>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000064>
[pid     8] close(24 <unfinished ...>
[pid     7] close(28 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000046>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000053>
[pid     8] close(25 <unfinished ...>
[pid     7] close(29 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000070>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000213>
